Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
69,UC Santa Barbara ,BW,22-4,13.66,109.9,96.3,66.1
70,Northwestern,B10,15-Sep,13.48,105.4,91.9,68.7
71,North Texas ,CUSA,17-9,13.13,106.1,92.9,63.1
72,Utah,P12,13-Dec,13.11,111.2,98.1,67.9
73,N.C. State,ACC,13-10,13.09,110.1,97,68.2
74,Wichita St. ,Amer,16-5,12.98,110.7,97.7,67.6
75,Saint Mary's,WCC,14-9,12.86,101.6,88.7,63.1
76,Providence,BE,13-13,12.68,108.1,95.4,66.6
77,Mississippi St.,SEC,15-14,12.61,107.2,94.6,65.7
78,Ohio ,MAC,16-7,12.54,113.7,101.2,69.3
79,Dayton,A10,14-9,12.25,109.1,96.9,66.2
80,Marquette,BE,13-14,12.19,108.3,96.1,67.7
81,Notre Dame,ACC,15-Nov,12.13,114.6,102.4,67.5
82,Louisiana Tech,CUSA,21-7,11.77,104.1,92.3,69.4
83,Stanford,P12,14-13,11.69,104.8,93.1,69.5
84,Colgate ,Pat,14-1,11.65,111.6,99.9,72.5
85,Oregon St. ,P12,17-12,11.6,110,98.4,65.4
86,Abilene Christian ,Slnd,23-4,11.56,103.7,92.2,70
87,Nevada,MWC,16-10,10.88,109.7,98.8,70.1
88,Missouri St.,MVC,17-7,10.86,108.2,97.3,69.4
89,Pittsburgh,ACC,12-Oct,10.59,108.8,98.2,68.6
90,Marshall,CUSA,15-7,10.57,110,99.5,72.9
91,Winthrop ,BSth,23-1,10.37,105.8,95.4,73.6
92,Furman,SC,16-9,10.36,110.5,100.1,67.9
93,Georgia,SEC,14-12,10.11,108.5,98.4,73.5
94,Western Kentucky,CUSA,20-7,10.1,106.4,96.3,67.9
95,Nebraska,B10,20-Jul,10.09,102.9,92.8,72.1
96,Vanderbilt,SEC,16-Sep,10,109.6,99.6,69
97,Liberty ,ASun,23-5,9.8,110.8,101,63.1
98,UAB,CUSA,22-7,9.8,104.1,94.3,67.3
99,Akron,MAC,15-8,9.7,109.5,99.8,68.8
100,UNC Greensboro ,SC,21-8,9.58,104.8,95.2,68.5
101,San Francisco,WCC,14-Nov,9.53,107.1,97.6,68
102,Loyola Marymount,WCC,13-9,9.51,108,98.5,66.3
103,UCF,Amer,12-Nov,9.35,106.6,97.2,67.5
104,Belmont,OVC,26-4,9.22,110.2,101,71.1
105,Rhode Island,A10,15-Oct,9.22,105.6,96.4,69.3
106,Kent St.,MAC,15-8,8.84,106.7,97.9,70
107,Washington St.,P12,14-13,8.79,101.1,92.4,67.9
108,Grand Canyon ,WAC,17-6,8.41,104.2,95.8,65.5
109,UC Irvine,BW,18-9,8.1,101.2,93.1,67.7
110,Eastern Washington ,BSky,16-7,8.08,108.4,100.3,72.4
111,UC Riverside,BW,14-8,8.05,103.5,95.4,67
112,Pepperdine,WCC,12-Dec,7.95,107.9,100,71.4
113,Arizona St.,P12,14-Nov,7.66,107.2,99.5,72.8
114,Massachusetts,A10,7-Aug,7.59,106.4,98.8,72
115,Butler,BE,15-Oct,7.35,103.5,96.1,64.9
116,Cincinnati,Amer,11-Dec,7.16,104,96.8,71
117,South Dakota St.,Sum,16-7,7.07,111.3,104.2,71.2
118,Indiana St.,MVC,15-10,7.01,103.3,96.2,67.2
119,Duquesne,A10,9-Sep,6.99,102.6,95.7,69.2
120,Yale,Ivy,0-0,6.85,107.8,101,68.1
121,Bowling Green,MAC,14-11,6.61,107.9,101.3,70.4
122,South Carolina,SEC,15-Jun,6.35,104.4,98,74.9
123,Pacific,WCC,9-Sep,6.32,103.8,97.5,67.3
124,Wofford,SC,15-9,6.07,107,101,66.2
125,Tulsa,Amer,12-Nov,5.95,102.9,96.9,65.8
126,East Tennessee St.,SC,13-12,5.68,103.8,98.1,65.7
127,Weber St.,BSky,17-6,5.37,107.7,102.3,72.2
128,Morehead St. ,OVC,23-7,5.32,100.9,95.5,65.6
129,Mercer,SC,18-11,5.16,106.9,101.7,68
130,Vermont,AE,5-Oct,5.05,106.2,101.1,66.7
131,George Mason,A10,13-9,4.99,102,97,68.4
132,Miami FL,ACC,17-Oct,4.92,102.8,97.9,68.1
133,DePaul,BE,14-May,4.82,98.4,93.5,70.9
134,Texas A&M,SEC,10-Aug,4.32,102.4,98.1,64.6
135,UTEP,CUSA,12-Dec,4.2,103.9,99.7,68.2
136,California,P12,20-Sep,4.03,104,100,65.1
137,Ball St.,MAC,13-Oct,3.91,104.2,100.3,71
138,TCU,B12,14-Dec,3.89,105,101.1,66.9
139,Temple,Amer,11-May,3.88,101.9,98.1,69
140,Bradley,MVC,16-Dec,3.47,104.1,100.6,66.2
141,Southern Utah,BSky,20-4,3.46,108.6,105.1,70.2
142,Cal St. Bakersfield,BW,15-11,3.36,104.5,101.1,63.9
143,Boston College,ACC,16-Apr,3.23,105.7,102.4,71.1
144,North Dakota St.,Sum,15-12,3.18,103.6,100.4,64.9
145,Miami OH,MAC,11-Dec,3.05,106.9,103.9,66.1
146,Drexel ,CAA,7-Dec,3.05,107.8,104.8,64.2
147,Detroit,Horz,10-Dec,2.99,110.4,107.4,67.4
148,VMI,SC,13-12,2.91,108.5,105.6,70.2
149,Tulane,Amer,13-Oct,2.82,99.9,97.1,67.6
150,Old Dominion,CUSA,15-8,2.82,101.8,98.9,67.7
151,Cleveland St. ,Horz,19-7,2.8,101.5,98.7,66.3
152,Oral Roberts ,Sum,16-10,2.64,109.4,106.7,71.8
153,Georgia St.,SB,16-6,2.61,106.2,103.6,70.8
154,Santa Clara,WCC,8-Dec,2.45,100.5,98.1,70.7
155,Stephen F. Austin,Slnd,16-5,2.45,103.7,101.2,69.9
156,Chattanooga,SC,18-8,2.4,103.6,101.2,66.7
157,Kansas St.,B12,20-Sep,2.29,99.8,97.5,65.8
158,Navy,Pat,15-3,2.23,104.7,102.4,66.3
159,Jacksonville St.,OVC,18-9,2.21,105.7,103.5,66.1
160,New Mexico St.,WAC,8-Dec,2.11,104.3,102.2,65
161,Northern Iowa,MVC,15-Oct,1.92,103.9,102,69.1
162,Princeton,Ivy,0-0,1.89,104.7,102.8,66.8
163,Wyoming,MWC,14-11,1.84,109.9,108,69.3
164,Northeastern,CAA,9-Oct,1.83,99.3,97.5,67.3
165,East Carolina,Amer,11-Aug,1.79,99.8,98.1,68.2
166,UMBC,AE,14-6,1.75,101.4,99.7,67.9
167,UTSA,CUSA,15-11,1.69,106.9,105.3,72.1
168,Murray St.,OVC,13-13,1.61,104,102.4,66.5
169,UNLV,MWC,15-Dec,1.44,104.7,103.2,66.4
170,Wake Forest,ACC,16-Jun,1.37,102.1,100.7,67.3
171,James Madison,CAA,13-7,1.26,104.2,102.9,72.1
172,Eastern Kentucky,OVC,22-7,1.25,101.8,100.5,75.1
173,Washington,P12,21-May,1.18,102.6,101.5,71.3
174,Bryant,NEC,15-6,1.15,104.4,103.2,73.6
175,Coastal Carolina,SB,16-7,1.06,100.9,99.9,70.9
176,South Dakota,Sum,14-11,1.02,107.2,106.2,69.2
177,South Florida,Amer,13-Sep,0.79,100.9,100.1,67
178,Iowa St.,B12,22-Feb,0.72,100.5,99.8,70.2
179,Gardner Webb,BSth,15-Nov,0.66,105.2,104.5,67
180,Harvard,Ivy,0-0,0.56,102.6,102.1,68.3
181,Iona ,MAAC,5-Dec,0.39,101.1,100.7,68.3
182,Florida Atlantic,CUSA,13-10,0.29,102.4,102.1,68.4
183,Bellarmine,ASun,13-7,0.18,108.1,107.9,64.7
184,Sam Houston St.,Slnd,19-9,0.12,101.6,101.5,71.2
185,Texas St.,SB,18-7,-0.06,99.9,100,62.8
186,Siena,MAAC,5-Dec,-0.36,100.4,100.8,66.5
187,Fresno St.,MWC,12-Dec,-0.45,100.6,101,66.1
188,Hofstra,CAA,13-10,-0.56,106.6,107.2,68.4
189,Army,Pat,9-Dec,-0.84,99.4,100.2,68.4
190,Rice,CUSA,15-13,-0.97,104.5,105.5,69.6
191,Valparaiso,MVC,18-Oct,-1.22,97.2,98.4,67.3
192,Hartford ,AE,15-8,-1.3,98.2,99.5,66.7
193,Southern Illinois,MVC,14-Dec,-1.41,100.5,101.9,66.5
194,La Salle,A10,16-Sep,-1.54,102.8,104.3,68.8
195,Northern Kentucky,Horz,14-11,-1.74,104.9,106.6,65
196,Hawaii,BW,10-Nov,-1.82,101.7,103.5,67.2
197,Saint Joseph's,A10,15-May,-1.82,102.1,103.9,72.3
198,Illinois St.,MVC,18-Jul,-1.96,99.3,101.3,69.3
199,Elon,CAA,9-Oct,-2.18,97.5,99.7,66.8
200,Norfolk St. ,MEAC,16-7,-2.31,101.3,103.6,67.7
201,Nicholls St.,Slnd,18-7,-2.42,100.6,103.1,71.9
202,Montana,BSky,15-13,-2.42,98.7,101.1,66
203,Evansville,MVC,16-Sep,-2.54,106.4,108.9,62.3
204,San Diego,WCC,11-Mar,-2.55,97.6,100.1,70.5
205,Milwaukee,Horz,12-Oct,-2.61,102.9,105.5,70.1
206,Louisiana,SB,17-9,-2.67,100.8,103.5,71.3
207,Oakland,Horz,18-Dec,-2.8,104.9,107.7,70
208,Campbell,BSth,17-10,-2.84,103.6,106.5,64.2
209,Appalachian St. ,SB,17-11,-2.91,100.1,103,65.7
210,Loyola MD,Pat,11-Jun,-2.91,97.7,100.6,68.7
211,Utah Valley,WAC,11-Nov,-3.12,100.7,103.9,70.5
212,Wagner,NEC,13-7,-3.17,101.9,105,65.9
213,Penn,Ivy,0-0,-3.27,101,104.2,69.4
214,Austin Peay,OVC,14-13,-3.31,104.6,107.9,67.1
215,Cornell,Ivy,0-0,-3.33,102.1,105.5,67
216,The Citadel,SC,13-12,-3.38,104.6,108,74.5
217,South Alabama,SB,17-11,-3.42,103.7,107.1,66.9
218,UMKC,Sum,13-Nov,-3.48,96.2,99.7,62.9
219,Mount St. Mary's ,NEC,10-Dec,-3.58,96.1,99.7,62.2
220,Saint Peter's,MAAC,14-11,-3.59,91.2,94.8,67
221,Morgan St.,MEAC,14-8,-3.69,100.5,104.2,72.2
222,UC Davis,BW,8-Oct,-3.82,98,101.8,69.5
223,George Washington,A10,12-May,-4.02,102.6,106.6,68.1
224,Montana St.,BSky,13-10,-4.02,99.4,103.4,68.6
225,Delaware,CAA,8-Jul,-4.11,97.9,102,66.8
226,Charleston,CAA,10-Sep,-4.37,103,107.4,63.9
227,Monmouth,MAAC,8-Dec,-4.43,99.6,104,74.5
228,UMass Lowell,AE,12-Nov,-4.52,100.4,104.9,69.3
229,Texas Southern ,SWAC,16-8,-4.63,99.7,104.3,72
230,Stony Brook,AE,14-Sep,-4.77,95.4,100.2,66.8
231,Seattle,WAC,11-Dec,-4.86,98.5,103.4,69.1
232,Youngstown St.,Horz,15-12,-4.86,103.2,108.1,67.9
233,Charlotte,CUSA,16-Sep,-4.93,97.9,102.8,63
234,Albany,AE,9-Jul,-5.07,98,103.1,69.9
235,Radford,BSth,15-12,-5.26,98.4,103.7,63.8
236,UNC Asheville,BSth,10-Oct,-5.27,101.4,106.7,68.5
237,Western Carolina,SC,16-Nov,-5.3,100.5,105.8,70.8
238,Longwood,BSth,16-Dec,-5.32,98.7,104,65.3
239,UNC Wilmington,CAA,10-Jul,-5.53,102.8,108.3,69.3
240,Little Rock,SB,15-Nov,-5.55,98.8,104.4,67.3
241,UC San Diego,BW,10-Jul,-5.63,101.9,107.5,70.1
242,Lipscomb,ASun,15-12,-5.68,101.2,106.8,66.4
243,Cal Baptist,WAC,13-10,-5.75,104.5,110.2,70.8
244,Brown,Ivy,0-0,-5.83,96,101.8,69.9
245,Green Bay,Horz,17-Aug,-5.86,103.4,109.2,66.3
246,Prairie View A&M,SWAC,16-5,-5.89,94.8,100.7,69.5
247,Northern Colorado,BSky,11-Nov,-5.91,98.9,104.9,68.2
248,Stetson,ASun,14-Nov,-5.92,101.7,107.6,68.7
249,Niagara,MAAC,11-Sep,-6.06,100.4,106.5,64.8
250,Canisius,MAAC,6-Jul,-6.08,99.8,105.9,70.9
251,Arkansas St.,SB,13-Nov,-6.57,99.7,106.3,67.9
252,Long Beach St.,BW,12-Jun,-6.61,97.7,104.3,74.1
253,Boston University,Pat,11-Jul,-6.61,101.2,107.8,65.9
254,UT Arlington,SB,13-13,-6.61,98.7,105.3,69.6
255,Southern Miss,CUSA,17-Aug,-6.88,93.5,100.4,67.8
256,IUPUI,Horz,10-Aug,-6.98,97.2,104.2,72.4
257,Lafayette,Pat,6-Sep,-7.02,103.8,110.8,68.9
258,Portland St.,BSky,13-Sep,-7.11,92.9,100,69.6
259,Cal St. Fullerton,BW,10-Jun,-7.45,101.7,109.1,72.1
260,Sacramento St.,BSky,12-Aug,-7.53,102.5,110,65.6
261,American,Pat,6-Apr,-7.68,97.3,105,67.8
262,Samford,SC,13-Jun,-7.81,97.1,104.9,73
263,LIU,NEC,9-Sep,-7.82,94.5,102.3,74
264,Marist,MAAC,9-Dec,-7.98,92.3,100.2,66.4
265,New Hampshire,AE,9-Oct,-7.99,96.7,104.7,66.8
266,Tarleton St.,WAC,10-Oct,-8.02,97.3,105.3,64.7
267,Western Michigan,MAC,16-May,-8.03,95.8,103.8,66.3
268,Idaho St.,BSky,13-11,-8.33,93.7,102,64.5
269,Southeast Missouri St.,OVC,16-Nov,-8.34,96.2,104.5,68.7
270,Georgia Southern,SB,13-13,-8.36,94.6,103,67
271,Purdue Fort Wayne,Horz,15-Aug,-8.48,101.4,109.9,69.9
272,Jackson St.,SWAC,6-Dec,-8.65,88.4,97.1,68.7
273,Cal St. Northridge,BW,13-Sep,-8.67,101.5,110.2,70.4
274,Bucknell,Pat,7-May,-8.68,98.1,106.8,72.2
275,Central Michigan,MAC,16-Jul,-8.73,101.1,109.8,72.4
276,Dartmouth,Ivy,0-0,-8.83,95.6,104.4,66.8
277,Merrimack,NEC,9-Sep,-8.86,91.8,100.6,66.8
278,Eastern Michigan,MAC,12-Jun,-9.05,98,107.1,68.4
279,Illinois Chicago,Horz,13-Sep,-9.06,94.1,103.2,68.5
280,Florida A&M,MEAC,12-Aug,-9.17,90.9,100.1,68.7
